,user_id,product_id,rating
0,user_19,product_187,5
1,user_50,product_99,3
2,user_36,product_164,1
3,user_47,product_16,3
4,user_47,product_134,5
5,user_64,product_86,4
6,user_46,product_11,1
7,user_31,product_144,2
8,user_30,product_17,5
9,user_35,product_122,1
10,user_10,product_61,5
11,user_99,product_138,1
12,user_5,product_295,1
13,user_72,product_55,4
14,user_61,product_125,2
15,user_25,product_276,2
16,user_66,product_178,2
17,user_84,product_249,1
18,user_14,product_143,3
19,user_80,product_178,5
20,user_23,product_110,5
21,user_76,product_128,3
22,user_1,product_298,1
23,user_84,product_51,5
24,user_3,product_234,1
25,user_96,product_251,5
26,user_61,product_267,3
27,user_89,product_47,4
28,user_51,product_148,5
29,user_84,product_177,4
30,user_76,product_180,4
31,user_83,product_120,5
32,user_65,product_292,5
33,user_21,product_122,4
34,user_67,product_33,2
35,user_81,product_94,3
36,user_92,product_11,3
37,user_91,product_95,5
38,user_57,product_146,2
39,user_26,product_230,1
40,user_73,product_251,3
41,user_57,product_249,2
42,user_96,product_240,4
43,user_8,product_160,3
44,user_24,product_10,4
45,user_10,product_11,2
46,user_32,product_89,2
47,user_94,product_39,2
48,user_97,product_129,5
49,user_75,product_122,2
50,user_58,product_271,2
51,user_52,product_282,5
52,user_63,product_288,1
53,user_17,product_176,2
54,user_30,product_216,3
55,user_44,product_287,4
56,user_42,product_204,4
57,user_27,product_135,2
58,user_22,product_15,1
59,user_92,product_289,1
60,user_83,product_140,3
61,user_48,product_241,1
62,user_92,product_58,3
63,user_29,product_181,1
64,user_93,product_297,4
65,user_12,product_6,2
66,user_44,product_195,2
67,user_24,product_64,1
68,user_85,product_226,3
69,user_69,product_29,1
70,user_49,product_80,5
71,user_63,product_252,3
72,user_43,product_93,3
73,user_53,product_138,4
74,user_11,product_75,5
75,user_55,product_145,3
76,user_58,product_111,4
77,user_40,product_261,5
78,user_26,product_7,4
79,user_41,product_103,1
80,user_42,product_256,5
81,user_39,product_162,4
82,user_95,product_70,5
83,user_75,product_290,4
84,user_78,product_299,5
85,user_27,product_181,4
86,user_24,product_161,4
87,user_41,product_150,3
88,user_71,product_183,5
89,user_38,product_81,1
90,user_70,product_289,1
91,user_47,product_271,3
92,user_96,product_176,4
93,user_57,product_56,1
94,user_23,product_215,2
95,user_32,product_154,2
96,user_13,product_238,5
97,user_25,product_37,4
98,user_33,product_244,2
99,user_20,product_48,2
100,user_79,product_115,5
101,user_46,product_76,2
102,user_2,product_283,4
103,user_62,product_221,3
104,user_17,product_118,5
105,user_78,product_39,5
106,user_68,product_2,3
107,user_85,product_95,4
108,user_77,product_71,4
109,user_81,product_101,3
110,user_38,product_168,3
111,user_40,product_174,5
112,user_60,product_131,2
113,user_83,product_157,2
114,user_3,product_169,1
115,user_5,product_214,2
116,user_95,product_43,5
117,user_30,product_180,4
118,user_90,product_111,3
119,user_37,product_206,3
120,user_48,product_244,2
121,user_10,product_37,3
122,user_85,product_136,3
123,user_14,product_114,3
124,user_58,product_300,3
125,user_28,product_19,2
126,user_17,product_19,2
127,user_27,product_254,2
128,user_4,product_98,3
129,user_45,product_142,1
130,user_50,product_72,1
131,user_87,product_50,4
132,user_18,product_132,4
133,user_28,product_138,4
134,user_94,product_191,4
135,user_19,product_142,4
136,user_55,product_299,3
137,user_10,product_43,2
138,user_89,product_257,5
139,user_59,product_120,1
140,user_94,product_148,5
141,user_16,product_36,1
142,user_2,product_253,4
143,user_33,product_131,1
144,user_20,product_28,1
145,user_9,product_163,3
146,user_85,product_267,2
147,user_14,product_105,2
148,user_52,product_155,5
149,user_59,product_35,1
150,user_34,product_82,2
151,user_58,product_265,3
152,user_18,product_230,5
153,user_17,product_29,4
154,user_89,product_151,5
155,user_77,product_231,5
156,user_41,product_180,5
157,user_68,product_47,2
158,user_90,product_45,4
159,user_45,product_36,4
160,user_18,product_42,4
161,user_83,product_260,5
162,user_57,product_36,4
163,user_7,product_73,4
164,user_13,product_13,3
165,user_13,product_223,1
166,user_22,product_46,4
167,user_96,product_67,1
168,user_43,product_275,2
169,user_35,product_38,3
170,user_21,product_190,1
171,user_29,product_115,3
172,user_50,product_139,5
173,user_11,product_283,4
174,user_46,product_247,2
175,user_67,product_58,3
176,user_12,product_148,1
177,user_37,product_157,5
178,user_44,product_47,5
179,user_81,product_158,5
180,user_9,product_273,3
181,user_15,product_37,4
182,user_16,product_95,3
183,user_54,product_36,4
184,user_70,product_78,5
185,user_76,product_160,5
186,user_75,product_204,5
187,user_20,product_82,1
188,user_75,product_227,3
189,user_88,product_153,5
190,user_87,product_231,5
191,user_65,product_108,2
192,user_73,product_36,4
193,user_69,product_36,4
194,user_76,product_70,3
195,user_5,product_283,2
196,user_11,product_215,4
197,user_50,product_259,3
198,user_89,product_152,2
199,user_55,product_226,1
200,user_66,product_133,5
201,user_5,product_259,4
202,user_78,product_73,2
203,user_2,product_4,2
204,user_54,product_176,3
205,user_23,product_172,3
206,user_14,product_160,1
207,user_91,product_261,3
208,user_65,product_49,5
209,user_40,product_223,3
210,user_83,product_280,3
211,user_91,product_153,4
212,user_89,product_85,5
213,user_82,product_93,4
214,user_3,product_231,3
215,user_63,product_120,1
216,user_5,product_121,4
217,user_28,product_268,3
218,user_79,product_260,3
219,user_83,product_113,4
220,user_3,product_68,2
221,user_22,product_139,2
222,user_27,product_17,3
223,user_1,product_180,1
224,user_7,product_40,1
225,user_75,product_251,5
226,user_91,product_279,3
227,user_70,product_284,1
228,user_100,product_71,4
229,user_37,product_86,5
230,user_33,product_198,1
231,user_6,product_36,3
232,user_5,product_233,2
233,user_49,product_249,3
234,user_14,product_208,3
235,user_93,product_236,2
236,user_53,product_166,3
237,user_8,product_202,3
238,user_19,product_99,3
239,user_90,product_208,4
240,user_61,product_99,3
241,user_81,product_196,4
242,user_73,product_93,3
243,user_83,product_283,2
244,user_26,product_116,4
245,user_8,product_169,2
246,user_33,product_76,3
247,user_49,product_145,4
248,user_54,product_207,1
249,user_37,product_36,1
250,user_58,product_71,5
251,user_24,product_54,5
252,user_55,product_15,4
253,user_20,product_209,3
254,user_10,product_136,5
255,user_7,product_186,4
256,user_71,product_94,1
257,user_97,product_161,1
258,user_80,product_171,3
259,user_81,product_262,1
260,user_24,product_137,3
261,user_36,product_147,5
262,user_66,product_21,2
263,user_66,product_224,5
264,user_26,product_134,3
265,user_66,product_270,5
266,user_89,product_69,5
267,user_59,product_27,2
268,user_41,product_8,4
269,user_91,product_73,5
270,user_47,product_39,4
271,user_14,product_271,2
272,user_60,product_139,5
273,user_39,product_10,4
274,user_1,product_138,1
275,user_21,product_299,5
276,user_14,product_122,4
277,user_33,product_218,3
278,user_55,product_200,4
279,user_96,product_266,2
280,user_77,product_121,1
281,user_78,product_183,3
282,user_76,product_234,4
283,user_6,product_273,3
284,user_35,product_235,3
285,user_74,product_221,3
286,user_6,product_203,3
287,user_55,product_203,3
288,user_90,product_41,4
289,user_70,product_209,1
290,user_32,product_240,2
291,user_31,product_150,2
292,user_62,product_295,3
293,user_51,product_300,3
294,user_22,product_107,3
295,user_99,product_8,3
296,user_24,product_208,5
297,user_37,product_26,4
298,user_5,product_176,1
299,user_3,product_232,2
300,user_76,product_229,1
301,user_37,product_54,4
302,user_21,product_129,2
303,user_59,product_111,2
304,user_63,product_200,3
305,user_77,product_293,1
306,user_7,product_109,5
307,user_75,product_66,3
308,user_34,product_16,4
309,user_75,product_271,2
310,user_71,product_70,5
311,user_35,product_247,5
312,user_31,product_231,2
313,user_17,product_197,4
314,user_58,product_128,2
315,user_29,product_258,5
316,user_26,product_116,4
317,user_71,product_203,2
318,user_8,product_87,4
319,user_95,product_76,4
320,user_80,product_70,2
321,user_32,product_229,4
322,user_28,product_163,4
323,user_74,product_96,4
324,user_16,product_19,3
325,user_18,product_153,3
326,user_73,product_165,4
327,user_78,product_62,2
328,user_78,product_154,5
329,user_71,product_30,4
330,user_3,product_119,3
331,user_100,product_208,3
332,user_14,product_147,5
333,user_27,product_46,1
334,user_60,product_164,5
335,user_42,product_182,3
336,user_90,product_31,3
337,user_97,product_148,5
338,user_41,product_175,3
339,user_75,product_161,1
340,user_3,product_8,3
341,user_91,product_300,3
342,user_88,product_250,2
343,user_5,product_245,5
344,user_50,product_243,2
345,user_44,product_273,5
346,user_44,product_56,2
347,user_90,product_16,2
348,user_20,product_241,1
349,user_68,product_149,2
350,user_10,product_199,2
351,user_99,product_230,1
352,user_96,product_229,2
353,user_99,product_205,4
354,user_29,product_130,2
355,user_45,product_188,5
356,user_27,product_26,2
357,user_61,product_247,2
358,user_78,product_11,4
359,user_53,product_9,4
360,user_66,product_163,1
361,user_40,product_205,5
362,user_72,product_272,3
363,user_48,product_136,5
364,user_10,product_70,1
365,user_70,product_209,3
366,user_72,product_238,2
367,user_97,product_300,1
368,user_58,product_280,4
369,user_6,product_251,1
370,user_4,product_180,3
371,user_65,product_263,3
372,user_84,product_132,3
373,user_81,product_116,3
374,user_95,product_199,3
375,user_2,product_293,5
376,user_15,product_20,2
377,user_59,product_108,1
378,user_63,product_70,1
379,user_40,product_226,4
380,user_28,product_1,5
381,user_80,product_196,3
382,user_27,product_262,1
383,user_52,product_202,5
384,user_43,product_1,3
385,user_37,product_154,5
386,user_74,product_143,1
387,user_89,product_232,5
388,user_6,product_208,5
389,user_87,product_242,3
390,user_42,product_217,1
391,user_17,product_234,2
392,user_65,product_143,1
393,user_5,product_209,2
394,user_75,product_27,2
395,user_56,product_171,3
396,user_62,product_11,3
